character,meaning,onyomi,kunyomi,example_japanese,example_reading,example_meaning
一,one,いち,ひとつ,一人,ひとり,one person
二,two,に,ふたつ,二人,ふたり,two people
三,three,さん,みっつ,三人,さんにん,three people
上,above/up,じょう,うえ・あがる,上着,うわぎ,outerwear
下,below/down,か・げ,した・さがる,下着,したぎ,underwear
大,big/large,だい・たい,おおきい,大きい,おおきい,big
小,small/little,しょう,ちいさい,小さい,ちいさい,small
中,middle/center,ちゅう,なか,中国,ちゅうごく,China
人,person,じん・にん,ひと,日本人,にほんじん,Japanese person
日,sun/day,にち・じつ,ひ・か,日本,にほん,Japan
月,moon/month,げつ・がつ,つき,月曜日,げつようび,Monday
火,fire,か,ひ,火曜日,かようび,Tuesday
水,water,すい,みず,水曜日,すいようび,Wednesday
木,tree/wood,もく・ぼく,き,木曜日,もくようび,Thursday
金,gold/money,きん・こん,かね,金曜日,きんようび,Friday
土,earth/soil,ど・と,つち,土曜日,どようび,Saturday
年,year,ねん,とし,今年,ことし,this year
本,book/origin,ほん,もと,本,ほん,book
山,mountain,さん,やま,山,やま,mountain
川,river,せん,かわ,川,かわ,river
